,0
342,8506290:0:13
343,8506283:0:2
344,8506306:0:1
345,8506311:0:1
346,8506278
347,8506400
348,8506352
349,8506353
350,8506354
351,8506355
352,8506313
353,8506351
354,8506350
355,8506290:0:1
356,8506392:0:4
357,8506302:0:5
358,8506302:0:6
359,8506290:0:2
360,8506287:0:2
361,8506302:0:3
362,8506303:0:4
363,8506393:0:3
364,8506392:0:3
365,8506287:0:1
366,8506303:0:1
367,8506302:0:7
368,8506289
369,8506277
370,8506288
371,8506275
372,8506290
373,8500026:0:4
374,8500031:0:1
375,8500032:0:1
376,8500033:0:1
377,8500034:0:1
378,8500035:0:1
379,8500037:0:1
380,8500218:0:1A
381,8500010:0:11AB
382,8500320:0:2
383,8500322:0:1
384,8500320:0:5
385,8505000:0:7
386,8502007:0:3
387,8502001:0:3
388,8500027:0:3
389,8505000:0:5
390,8500010:0:10
391,8505000:0:4
392,8505000:0:3
393,8500010:0:15
394,8505000:0:6
395,8500218:0:7
396,8500027:0:4
397,8502001:0:2
398,8502007:0:1
399,8505000:0:8
400,8505000:0:10
401,8505000
402,8500028:0:4
403,8500025:0:2
404,8500024:0:3
405,8500022:0:2
406,8500021:0:1
407,8500010:0:16
408,8500136:0:2
409,8500119:0:1
410,8500118:0:3
411,8500117:0:3
412,8500116:0:1
413,8500115:0:3
414,8500114:0:3
415,8500113:0:2
416,8500109:0:1
417,8500114:0:4
418,8500115:0:2
419,8500117:0:2
420,8500118:0:2
421,8500119:0:2
422,8500136:0:1
423,8500113:0:3
424,8500109:0:2
425,8500113:0:4
426,8500010:0:17
427,8500021:0:2
428,8500022:0:1
429,8500024:0:1
430,8500025:0:1
431,8500028:0:3
432,8500120:0:1
433,8500121:0:2
434,8500122:0:3
435,8500123:0:3
436,8500124
437,8500125:0:1
438,8500126:0:1
439,8500218:0:10A
440,8500125:0:2
441,8500121:0:1
442,8500020:0:4
443,8505004:0:8
444,8500010:0:14
445,8503000:0:6
446,8500109:0:3
447,8014450
448,8014449
449,8014448
450,8021703
451,8014447
452,8083840
453,8014446
454,8014445
455,8014444
456,8014443
457,8083846
458,8014441
459,8069221
460,8014440
461,8014439
462,8087021
463,8500090
464,8500010:0:2
465,8501609:0:1
466,8501605:0:4
467,8507483:0:3
468,8507100:0:3
469,8507000:0:4
470,8501609:0:6
471,8501609:0:7
472,8507100:0:2
473,8507000:0:6
474,8507100:0:1
475,8501605:0:7
476,8501605:0:6
477,8501609:0:3
478,8501609:0:8
479,8507483:0:1
480,8507493:0:1
481,8507492:0:7
482,8301003:0:2
483,8501609:0:4
484,8507000:0:2
485,8507478:0:2
486,8301003:0:3
487,8508215:0:3B
488,8516354:0:1
489,8508297
490,8508295:0:3
491,8508294:0:1
492,8508293
493,8508292
494,8508187:0:1
495,8508186
496,8508185
497,8508184:0:1
498,8508183:0:2
499,8508174:0:1
500,8508182
501,8508181:0:1
502,8508100:0:14
503,8508215:0:2B
504,8508100:0:13
505,8508295:0:2
506,8508187:0:2
507,8507000:0:13A
508,8507082:0:1
509,8507091:0:1
510,8507083:0:2
511,8507084:0:1
512,8507085:0:2
513,8507086:0:2
514,8507087:0:2
515,8507095:0:1
516,8507088:0:1
517,8507089:0:1
518,8507000:0:12C
519,8507000:0:13
520,8507000:0:12A
521,8507000:0:13C
522,8507089
523,8507087:0:1
524,8507086:0:3
525,8507085:0:1
526,8507083:0:1
527,8507082:0:2
528,8507089:0:2
529,8507000:0:12
530,8507000
531,8508183:0:3
532,8508294:0:2
533,8508215:0:2
534,8507492:0:5
535,8507483:0:2
536,8507000:0:1
537,8507006:0:2
538,8507492
539,8507006:0:1
540,8507494:0:1
541,8507495:0:2
542,8507496:0:1
543,8507002:0:2
544,8507003:0:1
545,8507495:0:4
546,8508054:0:5
547,8507000:0:24
548,8507063:0:4
549,8589198:0:1
550,8507064:0:1
551,8507065:0:1
552,8507066:0:1
553,8507067:0:1
554,8507068:0:2
555,8507069:0:1
556,8507096:0:1
557,8507063:0:5
558,8508054:0:6
559,8507096:0:2
560,8507068:0:3
561,8507065:0:2
562,8507063
563,8507000:0:23
564,8508187:0:3
565,8508215:0:3
566,8508187
567,8500207:0:9
568,8508068:0:1
569,8508066:0:3
570,8508064:0:1
571,8508063:0:1
572,8508062:0:1
573,8508061:0:1
574,8508060:0:1
575,8508059:0:2
576,8507000:0:21
577,8508060:0:2
578,8508064:0:2
579,8508068:0:2
580,8500207:0:10
581,8508059:0:3
582,8504410:0:22
583,8508070:0:2
584,8508054:0:3
585,8508054:0:4
586,8508070:0:1
587,8504410:0:21
588,8508056:0:2
589,8508071:0:2
590,8508057:0:2
591,8508058:0:2
592,8508058:0:1
593,8508057:0:1
594,8508071:0:1
595,8508056:0:1
596,8507000:0:22
597,8506121:0:3
598,8506109:0:1
599,8506217:0:2
600,8506105:0:3
601,8506100:0:1
602,8506000:0:4
603,8503016:0:3
604,8503000:0:31
605,8506000:0:5
606,8507483:0:4
607,8503000:0:34
608,8503016:0:2
609,8506100:0:2
610,8506105:0:1
611,8506109:0:2
612,8501609:0:9
613,8507000:0:3
614,8504410:0:2
615,8507483:0:5
616,8508052:0:2
617,8508051:0:2
618,8508055:0:1
619,8508053:0:1
620,8508054:0:1
621,8508051:0:1
622,8508052:0:1
623,8508054:0:2
624,8501008:0:4
625,8501120:0:1
626,8504100:0:3
627,8501008:0:3
628,8501008:0:6
629,8504100:0:1
630,8519133:0:1
631,8504101:0:2
632,8504102:0:1
633,8504113:0:1
634,8504103:0:2
635,8504115:0:2
636,8504104:0:2
637,8504117:0:2
638,8504105:0:2
639,8504106:0:1
640,8504108:0:4
641,8516161:0:2
642,8507003:0:2
643,8507005:0:2
644,8507007
645,8507008:0:1
646,8507009:0:3
647,8507100:0:4
648,8507009:0:2
649,8507008:0:2
650,8507007:0:3
651,8507005:0:1
652,8507003:0:3
653,8507002:0:1
654,8516161:0:0
655,8507000:0:1CD
656,8504108:0:3
657,8504106:0:2
658,8504105:0:1
659,8504115:0:1
660,8504103:0:3
661,8504113:0:2
662,8504102:0:2
663,8504101:0:1
664,8519133:0:2
665,8507000:0:1AB
666,8504117:0:1
667,8504104:0:1
668,8504100:0:4
669,8504023:0:1
670,8504014:0:1
671,8505000:0:9
672,8504014:0:2
673,8504023:0:2
674,8508100:0:2
675,8508008:0:1
676,8508005:0:2
677,8508006:0:1
678,8508005:0:3
679,8508008:0:2
680,8508100:0:3
681,8504103:0:1
682,8504191:0:1
683,8504192:0:2
684,8504194
685,8504192:0:1
686,8508207:0:3
687,8508206
688,8508205:0:2
689,8508204
690,8508203:0:2
691,8508202:0:3
692,8508201:0:1
693,8508200
694,8508207:0:2
695,8508207:0:1
696,8508201:0:2
697,8508202:0:2
698,8508203:0:1
699,8508205:0:1
700,8508207
701,8516161:0:1
702,8507000:0:1A
703,8504300:0:10
704,8504416:0:2
705,8504441:0:2
706,8504415:0:2
707,8504414:0:3
708,8504413:0:4
709,8504412:0:2
710,8504411:0:2
711,8504300:0:9
712,8504300:0:10AB
713,8504410:0:3
714,8504411:0:1
715,8504412:0:3
716,8504413:0:3
717,8504414:0:1
718,8504415:0:3
719,8504441:0:1
720,8504416:0:3
721,8504410:0:1
722,8504300:0:7
723,8516161:0:5
724,8516161:0:3
725,8507079:0:1
726,8507078:0:3
727,8507093:0:1
728,8507077:0:1
729,8507092:0:1
730,8507076:0:2
731,8507000:0:12AB
732,8507076:0:1
733,8507077:0:2
734,8507093:0:2
735,8507079:0:2
736,8507078:0:2
737,8508265:0:3
738,8508080:0:2
739,8508081:0:3
740,8508005:0:1
741,8508003:0:2
742,8508001:0:4
743,8507092:0:2
744,8507076:0:3
745,8507075:0:2
746,8507074:0:2
747,8507073:0:1
748,8507072:0:2
