stop,type,population
Schützengarten,Bus,0
Bendlehn,Bus,0
"Trogen, Dorfplatz",Bus,0
"Trogen, Lindenbüel",Bus,0
"Trogen, Schopfacker",Bus,0
"Schönengrund, Post",Bus,0
"Schönengrund, Wohnheim",Bus,0
"Schönengrund, Postgarage",Bus,0
"St. Peterzell, Stafel",Bus,0
"Schwellbrunn, Einsiegele",Bus,0
"Schwellbrunn, Rotschwendi",Bus,0
"Schwellbrunn, Brisig",Bus,0
"Schwellbrunn, Winkfeld",Bus,0
"Brunnadern-Neckertal, Bahnhof",Bus,0
"Brunnadern, Alters-und Pflegeh",Bus,0
"Necker, Grütli",Bus,0
"Brunnadern, Anker",Bus,0
"Oberhelfenschwil, Metzwil",Bus,0
"Brunnadern, Spreitenbach",Bus,0
"Brunnadern, Furth",Bus,0
"Brunnadern, Auboden",Bus,0
"St. Peterzell, Mühle",Bus,0
"St. Peterzell, Dorf",Bus,0
"St. Peterzell, Bächlistrasse",Bus,0
"Dicken b Dgh, Schwindel",Bus,0
"St. Peterzell, Rüti",Bus,0
"Bächli, Wies",Bus,0
"Dicken b Dgh, Dorf",Bus,0
"St. Peterzell, Schönenbühl",Bus,0
"Bächli, Dorf",Bus,0
"Bächli, Harzenmoos",Bus,0
"Hemberg, Schwandsbrugg",Bus,0
"Hemberg, Rütelirank",Bus,0
"Hemberg, Post",Bus,0
"Hemberg, Rohr",Bus,0
"Hemberg, Dietschwil",Bus,0
"Hemberg, Schlatt",Bus,0
"Heiterswil, Weier",Bus,0
"Heiterswil, alte Post",Bus,0
"Heiterswil, Krummbach",Bus,0
"Wattwil, Eggberg",Bus,0
"Wattwil, Untereggberg",Bus,0
"Wattwil, Tüetlisberg",Bus,0
"Wattwil, Wanne",Bus,0
"Wattwil, ev. Kirche",Bus,0
"Wattwil, Post",Bus,0
"Wattwil, Bahnhof",Bus,0
"Wattwil, Schmidenbach",Bus,0
"Wattwil, Rietwis",Bus,0
"Krummenau, Restaurant Adler",Bus,0
"Wattwil, Spital",Bus,0
"Wattwil, Bunt",Bus,0
"Wattwil, Wis",Bus,0
"Neu St. Johann, Gemeindehaus",Bus,0
"Krummenau, Trempel",Bus,0
"Wattwil, Brendi",Bus,0
"Speicher, Stoss",Bus,0
Vögelinsegg,Train,-1
Speicher,Train,4188
Gfeld,Train,-1
Trogen,Train,1701
Appenzell,Bus,0
Hirschberg,Bus,0
"Appenzell, Hirschberg Station",Bus,0
Gontenbad,Train,-1
Steinegg,Train,-1
Sammelplatz,Bus,0
"Appenzell, Alpsteinstrasse",Bus,0
"Appenzell, Spital",Bus,0
"Appenzell, Bleichenwald",Bus,0
Gonten,Train,1373
"Appenzell, Bahnhof",Bus,0
Weissbad,Bus,0
Gais,Bus,0
Zweibrücken,Bus,0
Bühler,Train,1714
Hebrig,Train,-1
Strahlholz,Bus,0
Steigbach,Bus,0
Schachen (Gais),Train,-1
"Rheineck, Bahnhof",Bus,0
"Rheineck, Brüggershofstrasse",Bus,0
"Rheineck, Schwimmbad",Bus,0
"Rheineck, Altensteig",Bus,0
"Rheineck, National",Bus,0
Nebengraben,Bus,0
"Thal, Buriet",Bus,0
"Lutzenberg, Friedegg",Bus,0
"Rheineck, Asylstrasse",Bus,0
"Lutzenberg, Haufen",Bus,0
"Lutzenberg, Altersheim",Bus,0
"Lutzenberg, Brenden",Bus,0
"Lutzenberg, Hellbüchel",Bus,0
"Walzenhausen, Allmendsberg",Bus,0
"Walzenhausen, Post/Bahnhof",Bus,0
Bruggmühle AR,Bus,0
"Wolfhalden, Lindenberg",Bus,0
"Zelg (Wolfhalden), Mühltobel",Bus,0
"Wolfhalden, Hinteregg",Bus,0
"Wolfhalden, Schönenbühl",Bus,0
"Lachen AR, Moos",Bus,0
"Zelg (Wolfhalden), Gemsli",Bus,0
"Zelg (Wolfhalden), Hueb",Bus,0
"Walzenhausen, Sonnenberg",Bus,0
"Walzenhausen, Ledi(Schwimmbad)",Bus,0
"Walzenhausen, Güetli",Bus,0
"Platz, Hasenbrunnen",Bus,0
"Wolfhalden, Lippenreute",Bus,0
"Platz, Bild",Bus,0
"Platz, Wilen",Bus,0
"Platz, Landhaus",Bus,0
Leuchen,Bus,0
"Reute AR, Dorf",Bus,0
"Platz, Gaismoos",Bus,0
"Oberegg AI, Sonderegg",Bus,0
"Reute AR, Brücke",Bus,0
"Reute AR, Hinterdorf",Bus,0
"Reute AR, Steinegacht",Bus,0
"Schachen (Reute), alte Post",Bus,0
Mohren,Bus,0
"St. Margrethen SG, Gletscherh",Bus,0
"St. Margrethen SG,Schäflisberg",Bus,0
"St. Margrethen SG, Mineralbad",Bus,0
"St. Margrethen SG, Apfelberg",Bus,0
"St. Margrethen SG, Bahnhof",Bus,0
"St. Margrethen SG,Industriestr",Bus,0
"St. Margrethen SG, Seilerweg",Bus,0
"St. Margrethen SG, Rheinpark",Bus,0
"St. Margrethen SG, Heldsberg",Bus,0
"St. Margrethen SG, Äueli",Bus,0
"Au SG, Monstein",Bus,0
"Heerbrugg, Bahnhof",Bus,0
"Heerbrugg, Schloss",Bus,0
"Heerbrugg, Dornacherhof",Bus,0
"Heerbrugg, Schulen",Bus,0
"Balgach, Optik",Bus,0
"Widnau, Rhydorf",Bus,0
"Widnau, Rosenau",Bus,0
"Heerbrugg, Neuwies",Bus,0
"Heerbrugg, Waldegg",Bus,0
"Berneck, Rosenberg",Bus,0
"Berneck, Schlossbrücke",Bus,0
"Berneck, Post",Bus,0
"Berneck, Rathaus",Bus,0
"Berneck, Maienhalde",Bus,0
"Berneck, Taa",Bus,0
"Reute AR, Bellevue",Bus,0
"Oberegg AI, Unterdorf",Bus,0
"Mohren, Sturzenhard",Bus,0
"Mohren, Grütli",Bus,0
"Marbach SG, Bruggtobel",Bus,0
"Altstätten SG, Kapf",Bus,0
"Lüchingen, Wannelocher",Bus,0
"Lüchingen, Sportanlagen/GESA",Bus,0
"Altstätten SG, Spital/Heime",Bus,0
"Altstätten SG, Rathaus",Bus,0
"Altstätten SG, Elsenacker",Bus,0
"Altstätten SG, Feldstrasse",Bus,0
"Altstätten SG, Stadt",Bus,0
"Altstätten SG, Hirschen",Bus,0
"Altstätten SG, Breite",Bus,0
"Altstätten SG, Depot",Bus,0
"Altstätten SG, Klosterguet",Bus,0
"Altstätten SG, Unterlitten",Bus,0
"Altstätten SG, Traube",Bus,0
"Lüchingen, Kesselbrücke",Bus,0
"Oberegg AI, Eugst",Bus,0
"Oberegg AI, Rutlenstrasse",Bus,0
"Oberegg AI, St. Anton",Bus,0
"Oberegg AI, Bäumen",Bus,0
"Oberegg AI, Riethof",Bus,0
"Oberegg AI, St. Anton Kapelle",Bus,0
"Oberegg AI, Haggen",Bus,0
Jakobsbad,Train,-1
Urnäsch,Train,2233
Zürchersmühle,Train,-1
Waldstatt,Train,1731
Wilen,Train,-1
Herisau,Train,15402
Schachen (Herisau),Train,-1
Gossau SG,Train,17737
Degersheim,Train,3922
Wattwil,Train,8468
Flawil,Train,10394
St. Gallen Winkeln,Train,-1
Arnegg,Train,-1
Hauptwil,Train,-1
Rorschach,Train,9204
Häggenschwil-Winden,Train,1295
St. Margrethen,Train,5752
Romanshorn,Train,10504
Mogelsberg,Train,-1
Uznach,Train,6246
Lichtensteig,Train,1880
Ebnat-Kappel,Train,4884
Kaltbrunn,Train,4705
Uzwil,Train,12629
Sirnach,Train,7659
Bronschhofen,Train,-1
Münchwilen TG,Train,5312
Bazenheid,Train,-1
Eschlikon,Train,4257
Bischofszell Stadt,Train,5859
"Trogen, Hüttschwendi",Bus,0
"Trogen, Bleiche",Bus,0
"Trogen, Sandegg",Bus,0
"Trogen, Morgenlicht",Bus,0
Rorschach Hafen,Train,-1
Horn,Train,2568
Steinach,Train,3519
Rorschach Stadt,Train,-1
Staad,Train,-1
Seebleiche,Train,-1
Goldach,Train,8905
Rheineck,Train,3417
Sandbüchel,Train,-1
Heerbrugg,Train,-1
Au SG,Train,7481
Wartensee,Train,-1
Wienacht-Tobel,Train,-1
Schwendi bei Heiden,Train,-1
Heiden,Train,4149
Ruderbach,Train,-1
Walzenhausen,Train,2005
Roggwil-Berg,Train,-1
Muolen,Train,1192
Neukirch-Egnach,Train,4650
Uttwil,Train,1846
Amriswil,Train,13163
Egnach,Train,4650
Kreuzlingen Hafen,Train,21273
"Schwägalp, Säntis-Schwebebahn",Bus,0
"Schwägalp, Passhöhe",Bus,0
"Urnäsch, Kleinwald",Bus,0
"Ennetbühl, Schiltmoos",Bus,0
"Urnäsch, Kräzerli",Bus,0
"Ennetbühl, Bernhalde/Lutert.",Bus,0
Steinfluh,Bus,0
Rossfall,Bus,0
"Urnäsch, Hüsli",Bus,0
"Urnäsch, Frohsinn",Bus,0
"Urnäsch, Dürrenbach",Bus,0
"Urnäsch, Sonne Thal",Bus,0
"Urnäsch, Anker",Bus,0
"Urnäsch, Hofbach",Bus,0
"Urnäsch, Bahnhof",Bus,0
"Urnäsch, Taube",Bus,0
"Eggerstanden, Kirche",Bus,0
"Appenzell, Kreuzstrasse",Bus,0
"Haslen AI, Post",Bus,0
"Appenzell, Adlerplatz",Bus,0
"Appenzell Steinegg, Steinegg",Bus,0
"Appenzell, Kau",Bus,0
"Appenzell, Lehn",Bus,0
"Appenzell, Unterrain",Bus,0
"Gontenbad, Station",Bus,0
Appenzell Schlatt,Bus,0
"Weissbad, Lehmen/Triebern",Bus,0
"Appenzell, Lädeli",Bus,0
"Haslen AI, Schäfle",Bus,0
"Haslen AI, Linde",Bus,0
"Haslen AI, List",Bus,0
"Appenzell, Kreuzhof",Bus,0
"Brülisau, Schwarzenegg",Bus,0
"Appenzell, Meistersrüte",Bus,0
"Appenzell, Sonnenhalb",Bus,0
"Gonten, Station",Bus,0
"Schwende, Station",Bus,0
"Weissbad, Bahnhof",Bus,0
"Appenzell, Bleuer",Bus,0
"Appenzell, Zentrale",Bus,0
"Appenzell, Moren",Bus,0
"Appenzell, Schönenbüel",Bus,0
"Appenzell, Hallenbad",Bus,0
"Appenzell, Ziel",Bus,0
"Appenzell, Mettlenbrücke",Bus,0
"Haslen AI, Schiessegg",Bus,0
"Haslen AI, Tanne",Bus,0
"Appenzell, Unterschlatt",Bus,0
"Appenzell, Lank",Bus,0
"Appenzell, Steig",Bus,0
"Brülisau, Kastenbahn",Bus,0
"Weissbad, Berg",Bus,0
"Wasserauen, Station",Bus,0
"Weissbad, Zidler",Bus,0
"Jakobsbad, Station",Bus,0
"Weissbad, Bötz",Bus,0
"Oberegg AI, Honegg",Bus,0
"Oberegg AI, Landmark",Bus,0
"Altstätten SG, Ruppen",Bus,0
"Trogen, Hörnli",Bus,0
"Altstätten SG, Ruppendörfli",Bus,0
Wasserauen,Train,-1
Schwende,Train,2183
"Altstätten SG, Ruppenhalde",Bus,0
"Altstätten SG, Ergeten",Bus,0
"Altstätten SG, Ergeten-Loch",Bus,0
"Altstätten SG, Baumert",Bus,0
"Altstätten SG, Tannenbaum",Bus,0
"Altstätten SG, Sägentobel",Bus,0
"Altstätten SG, Ziel-Kornberg",Bus,0
"Altstätten SG, Bächler",Bus,0
"Altstätten SG, Wieswanne",Bus,0
"Altstätten SG, Oberkirlen",Bus,0
Rümlingen,Train,381
Buckten,Train,690
Lauwil,Bus,0
"Reigoldswil, Marchmatt",Bus,0
"Reigoldswil, Dorfplatz",Bus,0
"Bretzwil, Eichhöhe",Bus,0
"Reigoldswil, Hoggen",Bus,0
"Reigoldswil, Gemeindezentrum",Bus,0
"Bretzwil, Dorf",Bus,0
"Bretzwil, Mühle",Bus,0
"Bretzwil, Oberdorf",Bus,0
"Seewen SO, Rechtenberg",Bus,0
"Bretzwil, Sabelhöhe",Bus,0
"Titterten, March",Bus,0
"Reigoldswil, Linde",Bus,0
"Bennwil, Dorf",Bus,0
"Bennwil, Obere Matten",Bus,0
"Oberdorf BL, Gritt",Bus,0
"Hölstein, Oris",Bus,0
"Oberdorf BL, Dorfmatt",Bus,0
"Hölstein, Bahnhof",Bus,0
"Hölstein, Süd",Bus,0
"Lampenberg-Ramlinsburg,Station",Bus,0
"Hölstein, Weidbächli",Bus,0
"Bubendorf, Talhaus",Bus,0
"Lampenberg, Bündtenweg",Bus,0
"Ramlinsburg, Niderhof",Bus,0
"Liedertswil, Dorf",Bus,0
"Waldenburg, Bahnhof",Bus,0
"Oberdorf BL, Winkelweg",Bus,0
"Oberdorf BL, Bahnhof",Bus,0
"Waldenburg, Revue Thommen",Bus,0
"Oberdorf BL, Schulhaus",Bus,0
"Niederdorf, Station",Bus,0
"Niederdorf, Hirschlang",Bus,0
"Bubendorf, Bad",Bus,0
"Lampenberg, Dorf",Bus,0
"Ramlinsburg, Brunnacker",Bus,0
"Lausen, Langmatt",Bus,0
"Lausen, Bahnhof",Bus,0
"Lausen, Furlenboden",Bus,0
"Lausen, Bettleten",Bus,0
"Lausen, Mülizelg",Bus,0
"Lausen, Gemeindeverwaltung",Bus,0
"Lausen, Furlen",Bus,0
"Lausen, Ronda",Bus,0
"Lausen, Stutz",Bus,0
"Lausen, Kirchstrasse",Bus,0
"Schönenbuch, Dorf",Bus,0
"Schönenbuch, Niederfeld",Bus,0
"Schönenbuch, Im Pfeiffensack",Bus,0
"Allschwil, Ziegelhof",Bus,0
"Allschwil, Reservoir",Bus,0
"Rodersdorf, Station",Bus,0
"Rodersdorf, Chilchmatten",Bus,0
"Metzerlen, Dorf",Bus,0
"Leymen, Mairie (F)",Bus,0
"Metzerlen, Challstrasse",Bus,0
"Mariastein, Metzerlenstrasse",Bus,0
"Mariastein, Abzw. Rotberg",Bus,0
"Metzerlen, Burgstrasse",Bus,0
"Burg im Leimental, Dorfplatz",Bus,0
"Mariastein, Klosterplatz",Bus,0
"Biel-Benken BL, Kirchgasse",Bus,0
"Biel-Benken BL, Bruggmatt",Bus,0
"Biel-Benken BL, Brücke",Bus,0
"Witterswil, Bahnhofstrasse",Bus,0
"Biel-Benken BL, Unterdorf",Bus,0
"Biel-Benken BL, Im Wyler",Bus,0
"Witterswil, Station",Bus,0
"Biel-Benken BL, Dorf",Bus,0
"Biel-Benken BL, Breite",Bus,0
"Biel-Benken BL, Stöckmatten",Bus,0
"Oberwil BL, Rüti",Bus,0
"Oberwil BL, Vorderberg",Bus,0
"Pfeffingen, Bergmattenweg",Bus,0
"Pfeffingen, Post",Bus,0
"Pfeffingen, Bellevue",Bus,0
"Aesch BL, Höhenweg",Bus,0
"Aesch BL, Alterszentrum",Bus,0
"Aesch BL, Dorf",Bus,0
"Aesch BL, Schützenmattschule",Bus,0
"Aesch BL, Herrenweg",Bus,0
"Aesch BL, Schwimmbad",Bus,0
"Aesch BL, Arlesheimerstrasse",Bus,0
"Aesch BL, Gewerbestrasse",Bus,0
"Aesch BL, Sonnenweg",Bus,0
"Dornach, Bahnhof",Bus,0
"Dornach, Gwändweg",Bus,0
"Reinach BL, Neu-Reinach",Bus,0
"Dornach, Metallwerke",Bus,0
"Arlesheim, Altenmatteweg",Bus,0
"Arlesheim, Stollenrain",Bus,0
"Dornach, Kirche",Bus,0
"Dornach, Spital",Bus,0
"Reinach BL, Bruggstrasse",Bus,0
"Dornach, Apfelsee",Bus,0
"Arlesheim, Birsweg",Bus,0
"Arlesheim, Dorf",Bus,0
"Arlesheim, Dom",Bus,0
"Arlesheim, Im Lee",Bus,0
"Arlesheim, Obesunne",Bus,0
"Arlesheim, Baselstrasse",Bus,0
"Arisdorf, Kreuz",Bus,0
"Arisdorf, Hofacker",Bus,0
"Arisdorf, Weieren",Bus,0
"Hersberg, Dorf",Bus,0
"Liestal, Abzw. Hersberg",Bus,0
"Muttenz, Auhafen",Bus,0
"Muttenz, Schweizerhalle",Bus,0
"Pratteln, Saline",Bus,0
"Muttenz, Infrapark",Bus,0
"Muttenz, Novartis",Bus,0
"Pratteln, Zurlinden",Bus,0
"Pratteln, Grüssen",Bus,0
"Muttenz, Bizenen",Bus,0
"Pratteln, Bahnhof",Bus,0
"Füllinsdorf, Kittler",Bus,0
"Pratteln, Rankacker",Bus,0
"Dornach, Museumsplatz",Bus,0
"Dornach, Hügelweg",Bus,0
"Dornach, Jugendmusikschule",Bus,0
"Dornach, Schlatt",Bus,0
"Dornach, Quidum",Bus,0
"Dornach, Schiessstand",Bus,0
"Dornach, Ober-Erli",Bus,0
"Gempen, Dorf",Bus,0
"Gempen, Steinacker",Bus,0
"Hochwald, Rest. Rössli",Bus,0
"Gempen, Sonnhalde",Bus,0
"Hochwald, Dorfzentrum",Bus,0
"Hochwald, Ziegelschüren",Bus,0
"Seewen SO, Herrenmatt",Bus,0
"Seewen SO, Bretzwilerstrasse",Bus,0
"Seewen SO, Zelgli",Bus,0
"Seewen SO, Bödeli",Bus,0
"Seewen SO, Säge",Bus,0
"Seewen SO, Löhr",Bus,0
"Seewen SO, Musikautomaten",Bus,0
"Seewen SO, Seetalhöhe",Bus,0
"Laufen, Bahnhof",Bus,0
"Laufen, Katholische Kirche",Bus,0
"Laufen, Stedtli",Bus,0
"Laufen, Ricola/Spilag",Bus,0
"Wahlen b. Laufen, Weiern",Bus,0
"Laufen, Delsbergerstrasse",Bus,0
"Laufen, Wandplattenfabrik",Bus,0
"Laufen, Bromberg",Bus,0
"Laufen, Kantonsspital",Bus,0
"Dittingen, Industriezone Ried",Bus,0
"Breitenbach, Grien",Bus,0
"Liesberg, Station",Bus,0
"Bärschwil, Station",Bus,0
"Laufen, Wahlenstrasse",Bus,0
"Zwingen, Schützenhaus",Bus,0
"Dittingen, Buchholz",Bus,0
"Zwingen, Laufenstrasse",Bus,0
"Blauen, Dorfplatz",Bus,0
"Dittingen, Himmelrich",Bus,0
"Zwingen, Schulhaus",Bus,0
"Zwingen, Strengenfeld",Bus,0
"Zwingen, Bahnhof",Bus,0
"Zwingen, Nenzlingenmatten",Bus,0
"Brislach, Lärchenweg",Bus,0
"Brislach, Unterdorf",Bus,0
"Brislach, Dorf",Bus,0
"Brislach, Oberdorf",Bus,0
"Breitenbach, Ebne",Bus,0
"Breitenbach, Dorfplatz",Bus,0
"Nenzlingen, Unterdorf",Bus,0
"Nenzlingen, Dorfplatz",Bus,0
"Dittingen, Dorf",Bus,0
"Röschenz, In der Eich",Bus,0
"Röschenz, Unterdorf",Bus,0
"Röschenz, Dorfplatz",Bus,0
"Röschenz, Oberdorf",Bus,0
"Röschenz, Mühle",Bus,0
Challhöchi,Bus,0
"Kleinlützel, Schlossfabrik",Bus,0
"Liesberg, Seemättli",Bus,0
"Liesberg, Bebrunnenmatten",Bus,0
"Kleinlützel, Niedermatt",Bus,0
"Bärschwil, Hölzlirank",Bus,0
"Liesberg, Ochsengasse",Bus,0
"Liesberg, Dorfplatz",Bus,0
"Liesberg, Riederwald",Bus,0
"Lupsingen, Mehrzweckhalle",Bus,0
"Lupsingen, Dorf",Bus,0
"Liestal, Bahnhof",Bus,0
"Lupsingen, Oristalbrücke",Bus,0
"Lupsingen, Höfli",Bus,0
"Liestal, Wasserturmplatz",Bus,0
"Liestal, Gestadeckplatz",Bus,0
"Nuglar, Orismühle",Bus,0
"Liestal, Kantonsspital",Bus,0
"Liestal, Elektra",Bus,0
"Liestal, Oris",Bus,0
"Büren SO, Moosmatt",Bus,0
"Liestal, Stadion",Bus,0
"Liestal, Burg",Bus,0
"Liestal, Hallenbad",Bus,0
"Liestal, Altersheim",Bus,0
"Nuglar, Neumatt",Bus,0
"Nuglar, Neunuglar",Bus,0
"St. Pantaleon, Degenmatt",Bus,0
"Liestal, Schildareal",Bus,0
"Liestal, Kessel",Bus,0
"Liestal, Zeughaus",Bus,0
"Büren SO, Unterdorf",Bus,0
"Nuglar, Dorfplatz",Bus,0
"St. Pantaleon, bei den Tannen",Bus,0
"Liestal, Altmarkt",Bus,0
"Liestal, Eglisacker",Bus,0
"Liestal, Heidenloch",Bus,0
"Liestal, Kinderheim auf Berg",Bus,0
"Seltisberg, Sonnenblick",Bus,0
"Seltisberg, Verwaltung MZH",Bus,0
"Seltisberg, Zentrum Schule",Bus,0
"Seltisberg, alte Post",Bus,0
"Lupsingen, Schützenhaus",Bus,0
"Büren SO, Dorf",Bus,0
"Büren SO, Gemeindehaus",Bus,0
"Nuglar, St. Pantaleonstrasse",Bus,0
"Nuglar, Schulhaus",Bus,0
"Titterten, Gemeindehaus",Bus,0
"Arboldswil, Dorf",Bus,0
"Arboldswil, Renggelts",Bus,0
"Arboldswil, Mühletal",Bus,0
"Bubendorf, Grosstannen",Bus,0
"Bubendorf, Industrie Süd",Bus,0
"Bubendorf, Steingasse",Bus,0
"Ziefen, Diegmatt",Bus,0
"Bubendorf, Zentrum",Bus,0
"Ziefen, Zentrum",Bus,0
"Bubendorf, Unterdorf",Bus,0
"Ziefen, Mühlegasse",Bus,0
"Ziefen, Hofmatt",Bus,0
"Ziefen, Fraumatt",Bus,0
"Reigoldswil, Bütschen",Bus,0
"Waldenburg, Bürgerschopf",Bus,0
"Waldenburg, Hauenstein",Bus,0
"Langenbruck, Spittel",Bus,0
"Langenbruck, Dürrenberg",Bus,0
"Langenbruck, Passhöhe",Bus,0
"Langenbruck, Dorf",Bus,0
"Langenbruck, Unterdorf",Bus,0
"Holderbank SO, Steinbruch",Bus,0
Bärenwil,Bus,0
"Sissach, Bahnhof",Bus,0
"Sissach, Pfarrgässli",Bus,0
"Sissach, Sekundarschule",Bus,0
"Sissach, Bützenen",Bus,0
"Sissach, Brüel",Bus,0
"Sissach, Güterstrasse",Bus,0
"Sissach, Bergweg",Bus,0
"Zunzgen, Neumatt",Bus,0
"Sissach, Allmend",Bus,0
"Sissach, Grienmatt",Bus,0
"Sissach, Kreuzmatt",Bus,0
"Zunzgen, Post",Bus,0
"Zunzgen, Büchel",Bus,0
Tenniken,Bus,0
"Diegten, Eimatt",Bus,0
"Diegten, Weinburg",Bus,0
"Diegten, Hirschen",Bus,0
"Diegten, Mühle",Bus,0
"Diegten, Oberdiegten",Bus,0
"Eptingen, Edelweiss",Bus,0
"Eptingen, Gemeindeplatz",Bus,0
"Känerkinden, Dorf",Bus,0
"Buckten, Dorf",Bus,0
"Känerkinden, Schulhaus",Bus,0
"Wittinsburg, Bodenacher",Bus,0
"Rümlingen, Dorf",Bus,0
"Läufelfingen, Dorf",Bus,0
"Wittinsburg, Chamber",Bus,0
"Häfelfingen, Weidweg",Bus,0
"Wittinsburg, Tschattnau",Bus,0
"Läufelfingen, Bahnhof",Bus,0
"Häfelfingen, Dorf",Bus,0
"Diepflingen, Dorf",Bus,0
"Thürnen, Langmatt",Bus,0
"Thürnen, Dorf",Bus,0
"Thürnen, Grabacker",Bus,0
"Böckten, Dorf",Bus,0
"Böckten, Rohrmatt",Bus,0
"Anwil, Ausserdorf",Bus,0
"Anwil, Dorf",Bus,0
"Anwil, Talweiher",Bus,0
"Rothenfluh, Hirschengasse",Bus,0
"Rothenfluh, Säge",Bus,0
"Ormalingen, Oberdorf",Bus,0
"Ormalingen, Schulhaus",Bus,0
"Ormalingen, Unterdorf",Bus,0
"Ormalingen, Hemmikerstrasse",Bus,0
"Gelterkinden, Maloya",Bus,0
"Ormalingen, Zwischbach",Bus,0
"Gelterkinden, obere Mühle",Bus,0
"Gelterkinden, Post",Bus,0
"Gelterkinden, Bahnhof",Bus,0
"Gelterkinden, Rohrbachweg",Bus,0
"Gelterkinden, Rünenbergerbr.",Bus,0
"Gelterkinden, Rickenbacherstr.",Bus,0
"Gelterkinden, Mühlestett",Bus,0
"Gelterkinden, Schwimmbad",Bus,0
"Gelterkinden, Bleichiweg",Bus,0
"Ormalingen, Grauenstein",Bus,0
"Hemmiken, Stiegelmatt",Bus,0
"Hemmiken, Friedhof",Bus,0
"Hemmiken, Dorf",Bus,0
"Oltingen, Postplatz",Bus,0
"Oltingen, Schulhaus",Bus,0
"Oltingen, Lehmatt",Bus,0
"Wenslingen, Mooshof",Bus,0
"Wenslingen, Vorderdorf",Bus,0
"Wenslingen, Hinterdorf",Bus,0
"Tecknau, Mitteldorf",Bus,0
"Tecknau, Bahnhof",Bus,0
"Tecknau, Dorf",Bus,0
"Zeglingen, Sagi",Bus,0
"Kilchberg BL, Gemeindehaus",Bus,0
"Zeglingen, Unterdorf",Bus,0
"Rünenberg, Unterdorf",Bus,0
"Rünenberg, Mitteldorf",Bus,0
"Rünenberg, Frohe Aussicht",Bus,0
"Zeglingen, Oberdorf",Bus,0
"Rickenbach BL, Weier",Bus,0
"Rickenbach BL, Hinterdorf",Bus,0
"Buus, Tagungszentrum Waldegg",Bus,0
"Buus, Buuseregg",Bus,0
"Buus, Untere Farnsburg",Bus,0
"Buus, Turnhalle",Bus,0
"Wintersingen, Blumatt",Bus,0
"Wintersingen, Post",Bus,0
"Wintersingen, Dorf",Bus,0
"Wintersingen, Steindler",Bus,0
"Wintersingen, Breitenhof",Bus,0
"Nusshof, Abzw.",Bus,0
"Nusshof, Hübel",Bus,0
"Nusshof, Dorf",Bus,0
"Sissach, Sissacher Fluh",Bus,0
"Sissach, Hinteregg",Bus,0
"Sissach, Voregg",Bus,0
"Sissach, Letten",Bus,0
"Sissach, Hofacker",Bus,0
"Kleinlützel, Garage",Bus,0
"Kleinlützel, Frohmatt",Bus,0
"Kleinlützel, Ziegelscheune",Bus,0
"Kleinlützel, Schulhaus",Bus,0
"Kleinlützel, Chlösterli",Bus,0
"Kleinlützel, Stollen",Bus,0
"Metzerlen, Felsplatte",Bus,0
"Flüh, Schulhaus",Bus,0
"Hofstetten SO, Bergmattenweg",Bus,0
"Breitenbach, Bandfabrik",Bus,0
"Breitenbach, Oberdorf",Bus,0
"Büsserach, Niederfeld",Bus,0
"Breitenbach, Margrieben",Bus,0
"Wahlen b. Laufen, Petersplatz",Bus,0
Alpnach Dorf,Train,5920
Sarnen Nord,Train,-1
Sachseln,Train,5006
Stansstad,Train,4382
Alpnachstad,Train,-1
Dallenwil,Train,1816
Engelberg,Train,4052
"Waldibrücke, Bahnhof",Bus,0
Waldibrücke,Train,-1
Ballwil,Train,2757
Wolhusen,Train,4204
Schachen LU,Train,0
Nottwil,Train,3678
Nebikon,Train,2573
Rothenburg Dorf,Train,7366
Rothenburg,Train,7366
Dornach-Arlesheim,Train,15610
Aesch,Train,-1
Duggingen,Train,1520
Grellingen,Train,1813
Moutier,Train,7439
Courtételle,Train,2530
Bassecourt,Train,-1
Grenchen Nord,Train,16658
Court,Train,1393
Grandval,Train,381
Courfaivre,Train,-1
Glovelier,Train,-1
St-Ursanne,Train,-1
Combe-Tabeillon,Train,-1
Courgenay,Train,2244
Bollement,Train,-1
Porrentruy,Train,6601
Alle,Train,1798
Courchavon,Train,291
Delle (F),Train,-1
Vendlincourt,Train,552
Courtemaîche,Train,-1
Boncourt,Train,1189
"Therwil, Zentrum",Bus,0
"Therwil, Jurastrasse",Bus,0
"Therwil, Birsmatt",Bus,0
"Therwil, Mittlerer Kreis",Bus,0
"Therwil, Mooswasen",Bus,0
"Oberwil BL, Hüslimatt",Bus,0
"Therwil, Lindenfeld",Bus,0
"Reinach BL, Chäppeli",Bus,0
"Reinach BL, Bodmenstrasse",Bus,0
"Reinach BL, Dorf",Bus,0
"Reinach BL, Landererstrasse",Bus,0
"Reinach BL, Vogesenstrasse",Bus,0
"Reinach BL, Aumatten",Bus,0
"Reinach BL, Neuhofstrasse",Bus,0
"Reinach BL, TechCenter Kägen",Bus,0
"Dornach, Goetheanum",Bus,0
"Flüh, Bahnhof",Bus,0
"Bättwil, Müli",Bus,0
"Hofstetten SO, Unterdorf",Bus,0
"Bättwil, Grienacker",Bus,0
"Hofstetten SO, Milchhüsli",Bus,0
"Hofstetten SO, Mariasteinstr.",Bus,0
"Hofstetten SO, Ettingerstrasse",Bus,0
"Hofstetten SO,Witterswilerstr.",Bus,0
"Ettingen, Chirsgärten",Bus,0
