,stop,type
234,"Benkerjoch, Passhöhe",Bus
235,"Herznach, Post",Bus
236,"Asp AG, Abzw.",Bus
237,"Küttigen, Grossmatt",Bus
238,"Oberhof, Adlerplatz",Bus
239,"Oberhof, Benkenhöfe",Bus
240,"Küttigen, Fischbach",Bus
241,"Küttigen, Hinterrain",Bus
242,"Küttigen, Stock",Bus
243,"Erlinsbach, Rebberg",Bus
244,"Aarau, Achenbergstrasse",Bus
245,"Küttigen, Post",Bus
246,"Küttigen, Kreuz",Bus
247,"Rombach, Obstgarten",Bus
248,"Küttigen, Abzw. Giebel",Bus
249,"Küttigen, Oberdorf",Bus
250,"Erlinsbach, Oberdorf",Bus
251,"Küttigen, Aabach",Bus
252,"Rombach, Widler",Bus
253,"Küttigen, Benken-Klus",Bus
254,"Erlinsbach, Sagi",Bus
255,"Erlinsbach, Breitmis",Bus
256,"Baden, Ruschebach",Bus
257,"Baden, Ifang",Bus
258,"Turgi, Sitten",Bus
259,"Baden, Kapelle",Bus
260,"Turgi, Wil",Bus
261,"Baden, Schellenacker",Bus
262,"Baden, Römerstrasse",Bus
263,"Baden, Bruggerstrasse",Bus
264,"Rieden AG, Boldi",Bus
265,"Baden, Trafo",Bus
266,"Baden, Bahnhof West",Bus
267,"Rieden AG, Limmatsteg",Bus
268,"Nussbaumen AG, Breite",Bus
269,"Baden, Postautostation",Bus
270,"Baden, Gartenstrasse",Bus
271,"Baden, Bahnhof Ost",Bus
272,"Baden, Grand Casino",Bus
273,"Baden, Stein",Bus
274,"Baden, Rütistrasse",Bus
275,"Baden, Lindenplatz",Bus
276,"Baden, Schulhausplatz",Bus
277,"Baden, Schlossbergplatz",Bus
278,"Baden, Freihof",Bus
279,"Baden, Weite Gasse",Bus
280,"Baden, Kantonsschule",Bus
281,"Baden, Badener Tor",Bus
282,"Baden, Schadenmühle",Bus
283,"Baden, Kreuzliberg",Bus
284,"Baden, Oberstadt",Bus
285,"Niederrohrdorf, Egro",Bus
286,"Baden, Pinte",Bus
287,"Baden, St. Ursus",Bus
288,"Baden, Lindeli",Bus
289,"Baden, Historisches Museum",Bus
290,"Wettingen, Langenstein",Bus
291,"Baden, Schwimmbad",Bus
292,"Ennetbaden, Schützenhaus",Bus
293,"Wettingen, Winkelried",Bus
294,"Wettingen, Bahnhof",Bus
295,"Wettingen, Stadion",Bus
296,"Wettingen, Zentrumsplatz",Bus
297,"Wettingen, Staffelstrasse",Bus
298,"Wettingen, Rebstock",Bus
299,"Wettingen, Rathaus",Bus
300,"Wettingen, St. Sebastian",Bus
301,"Wettingen, Sonne",Bus
302,"Wettingen, Albisstrasse",Bus
303,"Wettingen, Bahnhofstrasse",Bus
304,"Wettingen, Schönenbühlstrasse",Bus
305,"Wettingen, Busgarage",Bus
306,"Wettingen, Bushof",Bus
307,"Wettingen, Halbartenstrasse",Bus
308,"Wettingen, Kreuzkapelle",Bus
309,"Wettingen, Hardstrasse",Bus
310,"Wettingen, Jurastrasse",Bus
311,"Wettingen, Tägipark",Bus
312,"Würenlos, Flüefeld",Bus
313,"Würenlos, Bahnhof",Bus
314,"Wettingen, Tägi",Bus
315,"Würenlos, Post",Bus
316,"Würenlos, Raiffeisenbank",Bus
317,"Würenlos, Büntenstrasse",Bus
318,"Würenlos, Bettlen",Bus
319,"Würenlos, Brunnenweg",Bus
320,"Würenlos, Spycher",Bus
321,"Gebenstorf, Reuss",Bus
322,"Gebenstorf, alte Post",Bus
323,"Windisch, Zentrum",Bus
324,"Birmenstorf AG, Schinebüel",Bus
325,"Gebenstorf, Cherne",Bus
326,"Gebenstorf, Alter Löwen",Bus
327,"Windisch, Breiti",Bus
328,"Brugg AG, Bahnhof/Campus",Bus
329,"Windisch, Zelgli",Bus
330,"Birmenstorf AG, Post",Bus
331,"Gebenstorf, Rieden",Bus
332,"Gebenstorf, Gemeindehaus",Bus
333,"Gebenstorf, Waldheim",Bus
334,"Gebenstorf, Vogelsang",Bus
