,stop,type
2479,"Hemmiken, Friedhof",Bus
2480,"Hemmiken, Dorf",Bus
2481,"Oltingen, Postplatz",Bus
2482,"Oltingen, Schulhaus",Bus
2483,"Oltingen, Lehmatt",Bus
2484,"Wenslingen, Mooshof",Bus
2485,"Wenslingen, Vorderdorf",Bus
2486,"Wenslingen, Hinterdorf",Bus
2487,"Tecknau, Mitteldorf",Bus
2488,"Tecknau, Bahnhof",Bus
2489,"Tecknau, Dorf",Bus
2490,"Zeglingen, Sagi",Bus
2491,"Kilchberg BL, Gemeindehaus",Bus
2492,"Zeglingen, Unterdorf",Bus
2493,"Rünenberg, Unterdorf",Bus
2494,"Rünenberg, Mitteldorf",Bus
2495,"Rünenberg, Frohe Aussicht",Bus
2496,"Zeglingen, Oberdorf",Bus
2497,"Rickenbach BL, Weier",Bus
2498,"Rickenbach BL, Hinterdorf",Bus
2499,"Buus, Tagungszentrum Waldegg",Bus
2500,"Buus, Buuseregg",Bus
2501,"Buus, Untere Farnsburg",Bus
2502,"Buus, Turnhalle",Bus
2503,"Wintersingen, Blumatt",Bus
2504,"Wintersingen, Post",Bus
2505,"Wintersingen, Dorf",Bus
2506,"Wintersingen, Steindler",Bus
2507,"Wintersingen, Breitenhof",Bus
2508,"Nusshof, Abzw.",Bus
2509,"Nusshof, Hübel",Bus
2510,"Nusshof, Dorf",Bus
2511,"Sissach, Sissacher Fluh",Bus
2512,"Sissach, Hinteregg",Bus
2513,"Sissach, Voregg",Bus
2514,"Sissach, Letten",Bus
2515,"Sissach, Hofacker",Bus
2516,"Kleinlützel, Garage",Bus
2517,"Kleinlützel, Frohmatt",Bus
2518,"Kleinlützel, Ziegelscheune",Bus
2519,"Kleinlützel, Schulhaus",Bus
2520,"Kleinlützel, Chlösterli",Bus
2521,"Kleinlützel, Stollen",Bus
2522,"Metzerlen, Felsplatte",Bus
2523,"Flüh, Schulhaus",Bus
2524,"Hofstetten SO, Bergmattenweg",Bus
2525,"Breitenbach, Bandfabrik",Bus
2526,"Breitenbach, Oberdorf",Bus
2527,"Büsserach, Niederfeld",Bus
2528,"Breitenbach, Margrieben",Bus
2529,"Wahlen b. Laufen, Petersplatz",Bus
2530,Alpnach Dorf,Train
2531,Sarnen Nord,Train
2532,Sachseln,Train
2533,Stansstad,Train
2534,Alpnachstad,Train
2535,Dallenwil,Train
2536,Engelberg,Train
2537,"Waldibrücke, Bahnhof",Bus
2538,Waldibrücke,Train
2539,Ballwil,Train
2540,Wolhusen,Train
2541,Schachen LU,Train
2542,Nottwil,Train
2543,Nebikon,Train
2544,Rothenburg Dorf,Train
2545,Rothenburg,Train
2546,Dornach-Arlesheim,Train
2547,Aesch,Train
2548,Duggingen,Train
2549,Grellingen,Train
2550,Moutier,Train
2551,Courtételle,Train
2552,Bassecourt,Train
2553,Grenchen Nord,Train
2554,Court,Train
2555,Grandval,Train
2556,Courfaivre,Train
2557,Glovelier,Train
2558,St-Ursanne,Train
2559,Combe-Tabeillon,Train
2560,Courgenay,Train
2561,Bollement,Train
2562,Porrentruy,Train
2563,Alle,Train
2564,Courchavon,Train
2565,Delle (F),Train
2566,Vendlincourt,Train
2567,Courtemaîche,Train
2568,Boncourt,Train
2569,"Therwil, Zentrum",Bus
2570,"Therwil, Jurastrasse",Bus
2571,"Therwil, Birsmatt",Bus
2572,"Therwil, Mittlerer Kreis",Bus
2573,"Therwil, Mooswasen",Bus
2574,"Oberwil BL, Hüslimatt",Bus
2575,"Therwil, Lindenfeld",Bus
2576,"Reinach BL, Chäppeli",Bus
2577,"Reinach BL, Bodmenstrasse",Bus
2578,"Reinach BL, Dorf",Bus
2579,"Reinach BL, Landererstrasse",Bus
2580,"Reinach BL, Vogesenstrasse",Bus
2581,"Reinach BL, Aumatten",Bus
2582,"Reinach BL, Neuhofstrasse",Bus
2583,"Reinach BL, TechCenter Kägen",Bus
2584,"Dornach, Goetheanum",Bus
2585,"Flüh, Bahnhof",Bus
2586,"Bättwil, Müli",Bus
2587,"Hofstetten SO, Unterdorf",Bus
2588,"Bättwil, Grienacker",Bus
2589,"Hofstetten SO, Milchhüsli",Bus
2590,"Hofstetten SO, Mariasteinstr.",Bus
2591,"Hofstetten SO, Ettingerstrasse",Bus
2592,"Hofstetten SO,Witterswilerstr.",Bus
2593,"Ettingen, Chirsgärten",Bus
2594,"Ettingen, Holle",Bus
2595,"Ettingen, Oberdorf",Bus
2596,"Ettingen, Bahnhof",Bus
2597,"Ettingen, Lebernweg",Bus
2598,"Aesch BL, Schürhof",Bus
2599,"Aesch BL, Sportanl Löhrenacker",Bus
2600,"Aesch BL, Neumatt",Bus
2601,"Aesch BL, Dorf (Bus)",Bus
2602,"Aesch BL, Bahnhof",Bus
2603,"Füllinsdorf, Obere Hofackerstr",Bus
2604,"Füllinsdorf, Rössliplatz",Bus
2605,"Füllinsdorf, Giebenacherstr.",Bus
2606,"Füllinsdorf, Friedhofweg",Bus
2607,"Füllinsdorf, Niederschönthal",Bus
2608,"Füllinsdorf, Mühlematt",Bus
2609,"Frenkendorf-Füllinsdorf,Bahnho",Bus
2610,"Liestal, Fraumatt",Bus
2611,"Füllinsdorf, Schönthal",Bus
2612,"Frenkendorf, Mühlacker",Bus
2613,"Frenkendorf, Bächliacker",Bus
2614,"Liestal, Ringwald",Bus
2615,"Füllinsdorf, Ebene",Bus
2616,"Liestal, Industriestrasse",Bus
2617,"Frenkendorf, Dorfplatz",Bus
2618,"Frenkendorf, Friedhof",Bus
2619,"Frenkendorf, Schule Egg",Bus
2620,"Liestal, Munzach",Bus
2621,"Liestal, Radacker",Bus
2622,"Pratteln, Krummeneich",Bus
2623,"Pratteln, Münchacker",Bus
2624,"Pratteln, Gehrenacker",Bus
2625,"Pratteln, Tram",Bus
2626,"Pratteln, Bahnhofstrasse",Bus
2627,"Pratteln, Rührbergweg",Bus
2628,"Pratteln, Altersheim",Bus
2629,"Pratteln, Schloss",Bus
2630,"Pratteln, Zentrum Grüssen",Bus
2631,"Pratteln, Rosenmatt",Bus
2632,"Pratteln, Schmittiplatz",Bus
2633,"Pratteln, Breiti",Bus
2634,"Pratteln, Aegelmatt",Bus
2635,"Pratteln, Meierhofweg",Bus
2636,"Pratteln, Rütscheten",Bus
2637,"Pratteln, Chästeli",Bus
2638,"Pratteln, Friedhof Blözen",Bus
2639,"Hersberg, Schützen",Bus
2640,"Liestal, Windenthal",Bus
2641,"Liestal, Leisenberg",Bus
2642,"Liestal, im Rank",Bus
2643,"Liestal, äussere Arisdörferstr",Bus
2644,"Pratteln, Lindli",Bus
2645,Lugano,Train
2646,Giubiasco,Train
2647,Castione-Arbedo,Train
2648,Airolo,Train
2649,Locarno,Train
2650,Brunnen,Train
2651,Erstfeld,Train
2652,Altdorf,Train
2653,Sisikon,Train
2654,Göschenen,Train
2655,Faido,Train
2656,Bodio TI,Train
2657,Walchwil Hörndli,Train
2658,Sattel-Aegeri,Train
2659,Merlischachen,Train
2660,Biberegg,Train
2661,Altmatt,Train
2662,Biberbrugg,Train
2663,"Riehen, Bahnübergang",Bus
2664,"Riehen, Bahnhof",Bus
2665,"Riehen, Mühlestieg",Bus
2666,"Riehen, Schmiedgasse",Bus
2667,"Riehen, Bettingerstrasse",Bus
2668,"Riehen, Martinsrain",Bus
2669,"Riehen, Lachenweg",Bus
2670,"Riehen, Webergässchen",Bus
2671,"Riehen, Gemeindespital",Bus
2672,"Riehen, Hinter Gärten",Bus
2673,"Riehen, Mohrhaldenstrasse",Bus
2674,"Riehen, Dorf",Bus
2675,"Riehen, Wenkenhof",Bus
2676,"Riehen, Steingrubenweg",Bus
2677,"Riehen, Hohlweg",Bus
2678,"Riehen, Hungerbachhalde",Bus
2679,"Riehen, Humanitas",Bus
2680,"Riehen, Rotengraben",Bus
2681,"Riehen, Talmattstrasse",Bus
2682,"Riehen, Am Hang",Bus
2683,"Bettingen, Bückenweg",Bus
2684,"Bettingen, Dorf",Bus
2685,"Bettingen, Mennweg",Bus
2686,"Bettingen, Altes Zollhaus",Bus
2687,"Riehen, Dominikushaus",Bus
2688,"Riehen, Dinkelbergstrasse",Bus
2689,"Bettingen, Chrischonaklinik",Bus
2690,"Bettingen, St. Chrischona",Bus
2691,"Bettingen, Diakonissenhaus",Bus
2692,"Riehen, Tiefweg",Bus
2693,"Riehen, In der Au",Bus
2694,"Riehen, Inzlinger Zoll",Bus
2695,"Grenzach, Seidenweg (D)",Bus
2696,"Grenzach, Sparkasse (D)",Bus
2697,"Grenzach (D), Turnhalle",Bus
2698,"Grenzach (D), Gleusen",Bus
2699,"Wyhlen, Schulzentrum",Bus
2700,"Wyhlen, Hutmattenstrasse",Bus
2701,"Wyhlen, Hebelschule",Bus
2702,"Wyhlen, Engeltal",Bus
2703,"Wyhlen, Siedlung",Bus
2704,"Riehen, Chrischonaweg",Bus
2705,"Riehen, Auf dem Rücken",Bus
2706,"Riehen, Haidweg",Bus
2707,"Riehen, Moosrain",Bus
2708,Basel EuroAirport,Bus
2709,"Basel EuroAirport, Verwaltung",Bus
2710,"Basel EuroAirport, Cargo",Bus
2711,Zell (Wiesental),Train
2712,Hausen-Raitbach,Train
2713,Fahrnau,Train
2714,Schopfheim-Schlattholz,Train
2715,Schopfheim,Train
2716,Schopfheim-West,Train
2717,Steinen (D),Train
2718,Schopfheim West,Train
2719,Maulburg,Train
2720,Lörrach Brombach/Hauingen,Train
2721,Lörrach Haagen/Messe,Train
2722,Lörrach Schwarzwaldstrasse,Train
2723,Lörrach Hbf,Train
2724,Lörrach Museum/Burghof,Train
2725,Lörrach-Stetten,Train
2726,Lörrach Dammstrasse,Train
2727,Riehen,Train
2728,Weil am Rhein-Ost,Train
2729,Weil am Rhein,Train
2730,Weil am Rhein Pfädlistrasse,Train
2731,Müllheim (Baden),Train
2732,Weil am Rhein Gartenstadt,Train
2733,Haltingen,Train
2734,Efringen-Kirchen,Train
2735,"Erlach, Post",Bus
2736,"Erlach, Sekundarschule",Bus
2737,"Erlach, unter den Halden",Bus
2738,"Erlach, Gostel",Bus
2739,"Ins, Dorf",Bus
2740,"Vinelz, Strand",Bus
2741,"Gals, Neuhaus",Bus
2742,"Ins, West",Bus
2743,"Mullen, Dorf",Bus
2744,"Müntschemier, Dorf",Bus
2745,"Ins, Bahnhof",Bus
2746,"Brüttelen, Bahnhofstrasse",Bus
2747,"Vinelz, Post",Bus
2748,"Lüscherz, Riedmatte",Bus
2749,"Vinelz, Flachsern",Bus
2750,"Lüscherz, Dorf",Bus
2751,"Lüscherz, Post",Bus
2752,"Lüscherz, Bahnhof",Bus
2753,"Hagneck, Bahnhof",Bus
2754,"Täuffelen, Bahnhof",Bus
2755,St. Johannsen,Bus
2756,"Gals, Dorf",Bus
2757,"Le Landeron, Vieille-Ville",Bus
2758,"Gals, Gemeindehaus",Bus
2759,"Gals, Bethlehem",Bus
2760,"Gampelen, West",Bus
2761,"Gampelen, Dorf",Bus
2762,"Le Landeron, gare",Bus
2763,"La Neuveville, poste",Bus
2764,"Le Landeron, Bellevue",Bus
2765,"Le Landeron, Montet-Dessus",Bus
2766,"Le Landeron, centre",Bus
2767,"Le Landeron, zone industrielle",Bus
2768,"Ligerz, Bahnhof",Bus
2769,"La Neuveville, collège",Bus
2770,"La Neuveville, Les Moulins",Bus
2771,"La Neuveville, Ruis de Vaux",Bus
2772,"Le Landeron, bif. sur Frochaux",Bus
2773,"Cressier NE, gare",Bus
2774,"Twann, Bahnhof",Bus
2775,"La Neuveville, Château",Bus
2776,"Gampelen, Gürle",Bus
2777,"Ins, Brennerei",Bus
2778,"Tschugg, Matte",Bus
2779,"Tschugg, Klinik",Bus
2780,"Tschugg, Post",Bus
2781,"Kerzers, Bahnhof",Bus
2782,"Sugiez, gare",Bus
2783,"Ins, Witzwil",Bus
2784,"Murten, Löwenberg Stöckli",Bus
2785,"Sugiez, poste",Bus
2786,"Galmiz, Käserei",Bus
2787,"Cudrefin, La Sauge",Bus
2788,"Seftigen, Bahnhof",Bus
2789,"Burgistein, Bahnhof",Bus
2790,"Gurzelen, Kreuz",Bus
2791,"Uttigen, Bahnhof",Bus
2792,"Gurzelen, Gürbmatt",Bus
2793,"Lohnstorf, Dorf",Bus
2794,"Gurzelen, Schulhaus",Bus
2795,"Wattenwil, Rössli",Bus
2796,"Wattenwil, Bären",Bus
2797,"Forst b. Längenbühl, Käserei",Bus
2798,"Wattenwil, Postgasse",Bus
2799,"Forst b. Längenbühl, Tell",Bus
2800,"Wattenwil, Ey",Bus
2801,"Wattenwil, Pflegeheim",Bus
2802,"Wattenwil, Hof",Bus
2803,"Wattenwil, Stockern",Bus
2804,"Wattenwil, Lischen",Bus
2805,"Burgistein, Hohlenwegen",Bus
2806,"Wattenwil, Alpenblick",Bus
2807,"Wattenwil, Mettlen",Bus
2808,"Blumenstein, Bad",Bus
2809,"Längenbühl, Bach",Bus
2810,"Blumenstein, Dorf",Bus
2811,"Blumenstein, Post",Bus
2812,"Blumenstein, Lochmannsbühl",Bus
2813,"Blumenstein, Gemeindehaus",Bus
2814,"Cudrefin, camping",Bus
2815,"Riedtwil, Mittlerer Kasten",Bus
2816,"Riedtwil, Bahnhof",Bus
2817,"Wynigen, Oberer Kasten",Bus
2818,"Riedtwil, Schulhaus",Bus
2819,"Wynigen, Grüttermatt",Bus
2820,"Hermiswil, Brücke",Bus
2821,"Grasswil, Sonne",Bus
2822,"Grasswil, Regenhalden",Bus
2823,"Grasswil, Post",Bus
2824,"Grasswil, Oberdorf",Bus
2825,"Seeberg BE, Stalderhof",Bus
2826,"Seeberg BE, Schlüssel",Bus
2827,"Hellsau, Dorfmitte",Bus
2828,"Oberönz, Kreuzstr.-Burgäschi",Bus
2829,"Höchstetten, Post",Bus
2830,"Oberönz, Moos",Bus
2831,"Oberönz, Kreuz",Bus
2832,"Herzogenbuchsee, Bahnhof",Bus
2833,"Herzogenbuchsee, Bernstrasse",Bus
2834,"Niederönz, Eggen",Bus
2835,"Herzogenbuchsee, Sonnenplatz",Bus
2836,"Herzogenbuchsee, Jurablick",Bus
2837,"Kirchberg BE, Wydenhof",Bus
2838,"Niederönz, Hirschen",Bus
2839,"Wanzwil, Post",Bus
2840,"Bollodingen, Dorf",Bus
2841,"Niederönz, Post",Bus
2842,"Aeschi SO, Ost",Bus
2843,"Bollodingen, Hegen",Bus
2844,"Herzogenbuchsee, Friedhof",Bus
2845,"Kirchberg-Alchenflüh, Bahnhof",Bus
2846,"Aefligen, Gemeindehaus",Bus
2847,Utzenstorf,Bus
2848,"Röthenbach b. H., Rest. Post",Bus
2849,"Röthenbach b. H., Chrump",Bus
2850,"Heimenhausen, Post",Bus
2851,"Wynigen, Bahnhof",Bus
2852,"Burgdorf, Bahnhof",Bus
2853,"Alchenstorf, Wil",Bus
2854,"Lyssach, Kreuz",Bus
2855,"Burgdorf, Aebistrasse",Bus
2856,"Burgdorf, Kornhaus",Bus
2857,"Burgdorf, Poststrasse",Bus
2858,"Lyssach, Bahnhof",Bus
2859,"Burgdorf, City",Bus
2860,"Alchenstorf, Oberalchenstorf",Bus
2861,"Aeschi SO, Dorf",Bus
2862,"Gümmenen, Bahnhof",Bus
2863,"Rizenbach, Ofenhausstrasse",Bus
2864,"Gümmenen, Dorf",Bus
2865,Kleingümmenen,Bus
2866,"Gurbrü, Dorf",Bus
2867,"Rizenbach, Lerchenhubel",Bus
2868,"Mühleberg, Post",Bus
2869,Laupenau,Bus
2870,"Kerzers, Käserei",Bus
2871,"Biberen, Bernstrasse",Bus
2872,"Gempenach, Dorf",Bus
2873,"Ulmiz FR, Bauernhof",Bus
2874,"Ulmiz FR, Abzw. Lurtigen",Bus
2875,"Büchslen, Eintracht",Bus
2876,"Gempenach, Schoren",Bus
2877,"Ulmiz FR, Ausserdorf",Bus
2878,"Lurtigen, Dorf",Bus
2879,"Ulmiz FR, Dorf",Bus
2880,"Salvenach, Wilerstrasse",Bus
2881,"Münchenwiler, Salvenachstrasse",Bus
2882,"Münchenwiler, Bahnhof",Bus
2883,"Murten, Neugut",Bus
2884,"Meyriez, Hôpital",Bus
2885,"Courgevaux, village",Bus
2886,"Murten, Orientierungsschule",Bus
2887,"Murten, Bahnhof",Bus
2888,"Murten, Merlachfeld",Bus
2889,"Courlevon, Dorf",Bus
2890,"Murten, Bernstrasse",Bus
2891,"Murten, Hafen",Bus
2892,"Murten, Schwimmbad",Bus
2893,"Murten, Museum",Bus
2894,"Murten, Combette",Bus
2895,"Muntelier, Raffort",Bus
2896,"Muntelier, Schloss",Bus
2897,"Zwieselberg, Hani",Bus
2898,"Reutigen, Hani",Bus
2899,"Zwieselberg, Glütsch",Bus
2900,"Reutigen, Viehschauplatz",Bus
2901,"Reutigen, Dorf",Bus
2902,"Reutigen, Kapf",Bus
2903,"Wimmis, Brodhüsi",Bus
2904,"Wimmis, Bahnhof",Bus
2905,"Wimmis, Bachtele",Bus
2906,"Wimmis, Dorf",Bus
2907,"Oey-Diemtigen, Bahnhof",Bus
2908,"Latterbach, Dorf",Bus
2909,"Oey, Marktplatz",Bus
2910,"Gammen, Gammenrain",Bus
2911,"Gammen, Schulhaus",Bus
2912,"Kriechenwil, Schulhaus",Bus
2913,"Kriechenwil, Oberdorf",Bus
2914,"Laupen BE, Schützenstrasse",Bus
2915,"Laupen BE, Betagtenzentrum",Bus
2916,"Laupen BE, Poly-Areal",Bus
2917,"Laupen BE, Bahnhof",Bus
2918,"Bösingen, Abzw. Tuftera",Bus
2919,"Neuenegg, Louelemoos",Bus
2920,"Bösingen, Dorf",Bus
2921,"Neuenegg, Bahnhof",Bus
2922,"Riggisberg, Post",Bus
2923,"Riggisberg, Otzenbach",Bus
2924,"Rüti b. R'berg, Unterplötsch",Bus
2925,"Riggisberg, Abegg-Stiftung",Bus
2926,"Burgistein, Elbschen",Bus
2927,"Riggisberg, Spital",Bus
2928,"Riggisberg, Graben",Bus
2929,"Riggisberg, Beissern",Bus
2930,"Rüti b. R'berg, Plötsch",Bus
2931,"Burgistein, Weier",Bus
2932,"Riggisberg, Hasli",Bus
2933,"Mühlethurnen, Pontel",Bus
2934,"Kirchenthurnen, Mösli",Bus
2935,"Burgistein, Badersmaad",Bus
2936,"Wattenwil, Grundbach",Bus
2937,"Mühleberg, Steinriesel",Bus
2938,"Mühleberg, Dorf",Bus
2939,Heggidorn,Bus
2940,"Mühleberg, Säge",Bus
2941,"Gümmenen, Stutz",Bus
2942,"Mühleberg, Dällenbach",Bus
2943,"Frauenkappelen, Längägerten",Bus
2944,Leimere b. Mühleberg,Bus
2945,Buttenried,Bus
2946,Trüllern bei Mühleberg,Bus
2947,Mauss,Bus
2948,"Allenlüften, Dorf",Bus
2949,Zilacher b. Rosshäusern,Bus
2950,"Frauenkappelen, Chrummacher",Bus
2951,Brünnemoos b. Rosshäusern,Bus
2952,"Rosshäusern, Bahnhof",Bus
2953,"Fuchsenried, Mühlebergwerk",Bus
2954,Oberei b. Mühleberg,Bus
2955,"Uetendorf, Stiftung U.-Berg",Bus
2956,"Gurzelen, Obergurzelen",Bus
2957,"Uetendorf, Schürhus",Bus
2958,"Uetendorf, Bergschulhaus",Bus
2959,"Uetendorf, Buchshalte",Bus
2960,"Frauenkappelen, Hübeli",Bus
2961,"Frauenkappelen, Post",Bus
2962,"Frauenkappelen, Chrüzhubel",Bus
2963,"Riedbach, Bahnhof",Bus
2964,"Wangen an der Aare, Bahnhof",Bus
2965,"Wangen a.d. Aare, Unterführung",Bus
2966,"Wangen a.d.Aare, Aarenbrücke",Bus
2967,"Deitingen, Feuerwehrmagazin",Bus
2968,"Wangen a.d.Aare, Zytglogge",Bus
2969,"Walliswil b. Wangen, Seilerei",Bus
2970,"Wangenried, Unterdorf",Bus
2971,"Röthenbach b. H., Schützenhaus",Bus
2972,"Niederbipp, Braui-Kreisel",Bus
2973,"Wiedlisbach, Wangenstrasse",Bus
2974,"Derendingen, Freiheit",Bus
2975,"Oberbipp, Eintracht",Bus
2976,"Attiswil, Post",Bus
2977,"Wiedlisbach, Kirchgasse",Bus
2978,"Wiedlisbach, Bahnhof",Bus
2979,"Flumenthal, Post",Bus
2980,"Wiedlisbach, Stockrain",Bus
2981,"Wiedlisbach, Pflegeheim",Bus
2982,"Walliswil b. Wangen, Post",Bus
2983,"Wangenried, Linde",Bus
2984,"Röthenbach b. H., Post",Bus
2985,"Wangenried, Sägerei",Bus
2986,"Rumisberg, Bären",Bus
2987,"Rumisberg, Weissacker",Bus
2988,"Wolfisberg, Alpenblick",Bus
2989,"Rumisberg, Schoren",Bus
2990,"Wolfisberg, Schulhaus",Bus
2991,"Farnern, Jura",Bus
2992,Brig,Train
2993,Spiez,Train
2994,Visp,Train
2995,Domodossola (I),Train
2996,Lalden,Train
2997,Iselle di Trasquera,Train
2998,Goppenstein,Train
2999,Thun,Train
3000,Interlaken West,Train
3001,Wimmis,Train
3002,Mülenen,Train
3003,Lattigen bei Spiez,Train
3004,Leissigen,Train
3005,Faulensee,Train
3006,Frutigen,Train
3007,Boltigen,Train
3008,Eyholz,Train
3009,Stalden-Saas,Train
3010,Leuk,Train
3011,Sierre/Siders,Train
3012,Raron,Train
3013,Masera,Train
3014,Villadossola,Bus
3015,Milano Centrale,Train
3016,Preglia,Train
3017,Varzo,Train
3018,Eggerberg,Train
3019,Martigny,Train
3020,St-Léonard,Train
3021,"Gondo, Post",Bus
3022,Kandersteg,Train
3023,Hohtenn,Train
3024,Brig Bahnhofplatz,Train
3025,Kalpetran,Train
3026,Turtmann,Train
3027,Salgesch,Train
3028,Gampel-Steg,Train
3029,Reichenbach im Kandertal,Train
3030,Blausee-Mitholz,Train
3031,Münsingen,Train
3032,Uttigen,Train
3033,Interlaken Ost,Train
3034,Därligen,Train
3035,Oey-Diemtigen,Train
3036,Burgholz,Train
3037,Eifeld,Train
3038,Zweisimmen,Train
3039,Weissenbach,Train
3040,Erlenbach im Simmental,Train
3041,Enge im Simmental,Train
3042,Oberwil im Simmental,Train
3043,Wichtrach,Train
3044,Rubigen,Train
3045,Gümligen,Train
3046,Kiesen,Train
3047,Ringgenberg,Bus
3048,Brienz,Bus
3049,Oberried am Brienzersee,Bus
3050,Niederried,Bus
3051,Wilderswil,Bus
3052,Brienz West,Bus
3053,Brienzwiler,Train
3054,Meiringen,Train
3055,Ebligen,Bus
3056,Zweilütschinen,Bus
3057,Rotenegg,Train
3058,"Domodossola, Stazione",Bus
3059,Pontetto di Montecrestese,Bus
3060,Croppo di Trontano,Bus
3061,Montecrestese,Bus
3062,Roldo,Bus
3063,Trontano,Train
3064,Creggio,Train
3065,"Pallanzeno, stazione",Bus
3066,Piedimulera,Bus
3067,Monza,Train
3068,Milano Greco Pirelli,Train
3069,Venezia S. Lucia,Train
3070,Werthenstein,Train
3071,Entlebuch,Train
3072,Wolhusen Weid,Train
3073,Schüpfheim,Train
3074,Hasle LU,Train
3075,Menznau,Train
3076,Willisau,Train
3077,Gettnau,Train
3078,Zell,Train
3079,Hüswil,Train
3080,Huttwil,Train
3081,Rohrbach,Train
3082,Kleindietwil,Train
3083,Lindenholz,Train
3084,Madiswil,Train
3085,Gutenburg,Train
3086,Mittelhäusern,Train
3087,Schwarzwasserbrücke,Train
3088,Lanzenhäusern,Train
3089,Schwarzenburg,Train
3090,Worb SBB,Train
3091,Konolfingen,Train
3092,Tägertschi,Train
3093,"Aeschi b. Spiez, Post",Bus
3094,"Aeschi b. Spiez, Adelmatt",Bus
3095,"Aeschi b. Spiez, Alleestrasse",Bus
3096,"Aeschi b. Spiez, Mustermattli",Bus
3097,"Aeschi b. Spiez, Niederdorf",Bus
3098,"Mülenen, Suldbrücke",Bus
3099,"Aeschi b. Spiez, Hundbüel",Bus
3100,"Aeschi b. Spiez, Längenboden",Bus
3101,"Aeschi b. Spiez, Friedegg",Bus
3102,"Aeschi b. Spiez, Lengmattli",Bus
3103,"Krattigen, Stuhlegg",Bus
3104,"Krattigen, Post",Bus
3105,"Krattigen, Dorf",Bus
3106,"Krattigen, Kirche",Bus
3107,"Krattigen, Tschuppen",Bus
3108,"Spiez, Höhe",Bus
3109,"Krattigen, Oertlimatt",Bus
3110,"Spiez, Altersheim",Bus
3111,"Spiez, Eigen",Bus
3112,"Spiez, Aeschiweg",Bus
3113,"Spiez, Leimern",Bus
3114,"Spiez, Niesenbrücke",Bus
3115,"Spiez, Bahnhof",Bus
3116,"Spiez, Doren",Bus
3117,"Spiez, Lötschbergplatz",Bus
3118,"Spiez, Kapellenstrasse",Bus
3119,"Spiez, Oberlandstrasse",Bus
3120,"Spiez, Kronenplatz",Bus
3121,"Spiez, Spiezmoos",Bus
3122,"Spiez, Krone",Bus
3123,"Spiez, Sibirienkurve",Bus
3124,"Spiezwiler, Neumatte",Bus
3125,"Spiez, Bürgstrasse",Bus
3126,"Spiez, Des Alpes",Bus
3127,"Spiez, Rütti",Bus
3128,"Spiez, Kreuz",Bus
3129,"Aeschiried, Schulhaus",Bus
3130,"Aeschiried, untere Allmi",Bus
3131,"Aeschiried, Kapelle",Bus
3132,"Aeschiried, Staldeweid",Bus
3133,"Aeschiried, Chemihütte",Bus
3134,"Aeschiried, Ebenen",Bus
3135,"Aeschi b. Spiez, Wachthubel",Bus
3136,"Helgisried-Rohrbach, Post",Bus
3137,"Helgisried, Lauimatt",Bus
3138,"Helgisried-Rohrbach, Säge",Bus
3139,"Rohrbach b. Riggisberg,Schulh.",Bus
3140,"Rüeggisberg, Post",Bus
3141,"Wislisau, Wirtschaft",Bus
3142,"Fultigen, Abzw.",Bus
3143,"Rüeggisberg, Gemeindehaus",Bus
3144,"Schwarzenburg, Bahnhof",Bus
3145,"Schwarzenburg, Freiburgstrasse",Bus
3146,"Schwarzenburg, Milkenstrasse",Bus
3147,"Schwarzenburg, Thunstrasse",Bus
3148,"Schwarzenburg, Häusern",Bus
3149,"Riffenmatt, Kreuzung",Bus
3150,"Schwarzenburg, Schloss",Bus
3151,"Schwarzenburg, Pöschen",Bus
3152,"Schwarzenburg, Zelg",Bus
3153,"Mamishaus, Schönentannen",Bus
3154,"Lanzenhäusern, Bahnhof",Bus
3155,"Riffenmatt, Giebel",Bus
3156,"Riffenmatt, Schwendi",Bus
3157,"Rüschegg Schwarzenbühl,Kurhaus",Bus
3158,"Schwarzenburg, Brüllen",Bus
3159,"Mamishaus, Hostatt",Bus
3160,"Mamishaus, Dorf",Bus
3161,"Mamishaus, Abzw. Borbezried",Bus
3162,"Rüschegg Graben, Kreuzung",Bus
3163,"Mamishaus, Wengerli",Bus
3164,"Mamishaus, Wyden",Bus
3165,"Rüschegg Gambach, Bärenwart",Bus
3166,"Rüschegg Gambach, Dorf",Bus
3167,"Rüschegg Gambach, Hirschhorn",Bus
3168,"Rüschegg Gambach, Linde",Bus
3169,"Rüschegg Heubach, Längenboden",Bus
3170,"Rüschegg Heubach, Post",Bus
3171,"Rüschegg Graben, Rütiplötsch",Bus
3172,"Schwarzenburg, Waldgasse",Bus
3173,"Schwarzenburg, Büblern",Bus
3174,"Riedstätt, ob dem Wald",Bus
3175,"Riedstätt, Post",Bus
3176,"Guggisberg, Kalchstätten",Bus
3177,"Guggisberg, Kirchhalten",Bus
3178,"Kalchstätten, Eigen",Bus
3179,"Guggisberg, Sand",Bus
3180,"Guggisberg, Multernboden",Bus
3181,"Guggisberg, Post",Bus
3182,"Riffenmatt, Neuenmatt",Bus
3183,"Rüschegg Süfternen, Kreuzung",Bus
3184,"Milken, Steinern",Bus
3185,"Milken, Dorf",Bus
3186,"Milken, Zumholz",Bus
3187,"Milken, Hofland",Bus
3188,"Guggisberg, Gehlismatt",Bus
3189,"Zumholz, Guggersbachbrücke",Bus
3190,"Hirschmatt (Guggisberg),Schule",Bus
3191,"Zumholz, Abzweigung",Bus
3192,"Hirschmatt (Guggisberg), Fall",Bus
