,0,1
126,10.TA.72-4-Y-j18-1.2.H,96578
127,5.TA.72-7-Y-j18-1.2.H,96507
128,6.TA.72-7-Y-j18-1.2.H,96511
129,8.TA.72-7-Y-j18-1.2.H,96515
130,7.TA.72-7-Y-j18-1.3.H,96513
131,248.TA.66-340-j18-1.23.R,6436
132,251.TA.66-340-j18-1.24.R,6406
133,254.TA.66-340-j18-1.25.R,6408
134,141.TA.66-340-j18-1.7.H,6603
135,152.TA.66-340-j18-1.7.H,6669
136,154.TA.66-340-j18-1.7.H,6671
137,164.TA.66-340-j18-1.8.R,6652
138,175.TA.66-340-j18-1.8.R,6672
139,177.TA.66-340-j18-1.8.R,6674
140,249.TA.66-340-j18-1.23.R,6436
141,252.TA.66-340-j18-1.24.R,6406
142,255.TA.66-340-j18-1.25.R,6408
143,36.TA.66-80-Y-j18-1.1.H,11079
144,6.TA.5-3-j18-1.5.R,764
145,54.TA.6-17-j18-1.25.R,2385
146,5.TA.5-3-j18-1.4.R,764
147,53.TA.6-17-j18-1.18.R,2385
148,26.TA.20-2-B-j18-1.6.H,866
149,74.TA.20-2-B-j18-1.26.H,890
150,18.TA.21-8-j18-1.15.R,23831
151,28.TA.21-8-j18-1.16.R,23847
152,42.TA.21-8-j18-1.16.R,23871
153,165.TA.21-8-j18-1.50.R,23893
154,5.TA.66-97-Y-j18-1.1.H,9860
155,8.TA.66-97-Y-j18-1.1.H,9862
156,11.TA.72-4-Y-j18-1.2.H,96578
157,18.TA.72-4-Y-j18-1.2.H,96796
158,16.TA.72-4-Y-j18-1.2.H,96792
159,17.TA.72-4-Y-j18-1.2.H,96794
160,19.TA.72-4-Y-j18-1.3.H,96798
161,14.TA.72-7-Y-j18-1.2.H,96793
162,16.TA.72-7-Y-j18-1.2.H,96797
163,15.TA.72-7-Y-j18-1.2.H,96795
164,13.TA.72-7-Y-j18-1.3.H,96791
165,7.TA.57-5-Y-j18-1.2.H,9772
166,6.TA.57-7-Y-j18-1.2.H,9773
167,105.TA.66-340-j18-1.7.H,6603
168,126.TA.66-340-j18-1.7.H,6669
169,128.TA.66-340-j18-1.7.H,6671
170,196.TA.66-340-j18-1.8.R,6652
171,207.TA.66-340-j18-1.8.R,6672
172,209.TA.66-340-j18-1.8.R,6674
173,4.TA.66-340-j18-1.15.H,6409
174,29.TA.66-340-j18-1.17.H,6431
175,38.TA.66-340-j18-1.18.H,6407
176,7.TA.66-340-j18-1.1.H,6411
177,9.TA.66-340-j18-1.1.H,6413
178,11.TA.66-340-j18-1.1.H,6415
179,13.TA.66-340-j18-1.1.H,6417
180,15.TA.66-340-j18-1.1.H,6419
181,17.TA.66-340-j18-1.1.H,6421
182,19.TA.66-340-j18-1.1.H,6423
183,21.TA.66-340-j18-1.1.H,6425
184,23.TA.66-340-j18-1.1.H,6427
185,25.TA.66-340-j18-1.1.H,6429
186,31.TA.66-340-j18-1.1.H,6433
187,33.TA.66-340-j18-1.1.H,6435
188,35.TA.66-340-j18-1.1.H,6437
189,53.TA.6-51-A-j18-1.3.H,1623
190,1.TA.19-5-j18-1.1.R,1506
191,3.TA.20-2-B-j18-1.2.R,865
192,7.TA.20-2-B-j18-1.3.R,869
193,53.TA.20-2-B-j18-1.19.H,880
194,59.TA.20-2-B-j18-1.20.H,884
195,7.TA.20-21-j18-1.2.R,679
196,5.TA.66-340-j18-1.16.H,6409
197,76.TA.6-51-A-j18-1.5.H,1641
198,42.TA.6-51-A-j18-1.4.H,1611
199,14.TA.20-2-B-j18-1.2.R,877
200,48.TA.20-2-B-j18-1.18.H,872
201,74.TA.6-51-A-j18-1.5.H,1641
202,39.TA.6-51-A-j18-1.4.H,1611
