,0
447,8590184
448,8590177
449,8590169
450,8590179
451,8590250
452,8590246
453,8590247
454,8590244
455,8590248
456,8590249
457,8590245
458,8590240
459,8590396
460,8590278
461,8590277
462,8590271
463,8590279
464,8590275
465,8578914:0:5
466,8590174
467,8590172
468,8590235
469,8572572
470,8590395
471,8595203
472,8503875
473,8590251
474,8572574
475,8590252
476,8503767
477,8572575
478,8503779
479,8572576
480,8572577
481,8503777
482,8572578
483,8503776
484,8578914:0:6
485,8578914:0:3
486,8590261
487,8590257
488,8590259
489,8590258
490,8590260
491,8590151
492,8590138
493,8590156
494,8590134
495,8578645
496,8578646
497,8578647
498,8578007
499,8578649
500,8578650
501,8578651
502,8578652
503,8578653
504,8578654
505,8578655
506,8500599
507,8578657
508,8573726
509,8583805
510,8581666
511,8573725
512,8583206
513,8573720
514,8573723
515,8583071
516,8572603
517,8502879
518,8570706
519,8572605
520,8582790
521,8583363
522,8582104
523,8502883
524,8573193
525,8581015
526,8573178
527,8573722
528,8573721
529,8503598
530,8583755
531,8502876
532,8573719
533,8502950
534,8583870
535,8573718
536,8572744
537,8581669
538,8572610
539,8582054
540,8502565
541,8502558
542,8572609
543,8502890
544,8502556
545,8572608
546,8502555
547,8502960
548,8583481
549,8502778
550,8583482
551,8502884
552,8573195
553,8583890
554,8503504:0:2
555,8502119:0:4
556,8502112:0:1
557,8502111:0:2
558,8502110:0:4
559,8500218:0:9
560,8502000:0:3
561,8508103:0:1
562,8508102:0:2
563,8508101:0:3
564,8508100:0:1
565,8502110:0:3
566,8502111:0:4
567,8502112:0:2
568,8502114:0:4
569,8502119:0:2
570,8502247:0:5
571,8502237:0:5
572,8503503:0:3
573,8503504:0:5
574,8508101:0:4
575,8508102:0:1
576,8508103:0:4
577,8502000:0:1
578,8502113:0:1
579,8502119:0:1
580,8500218
581,8500218:0:12
582,8500218:0:11
583,8502113:0:6
584,8502110:0:1
585,8502955
586,8502553
587,8572601
588,8572600
589,8582462
590,8502878
591,8572747
592,8572602
593,8572646
594,8502570
595,8572647
596,8502571
597,8573710
598,8591341
599,8502572
600,8580912
601,8503610
602,8573711
603,8503709
604,8503699
605,8503580
606,8503698
607,8580302
608,8502567
609,8502566
610,8502577
611,8502559
612,8502215:0:3
613,8502213:0:3
614,8502212:0:1
615,8502211:0:2
616,8502105:0:5
617,8502215:0:4
618,8502211:0:3
619,8502212:0:2
620,8502213:0:2
621,8502119:0:6
622,8502211:0:1
623,8502214:0:1
624,8502218:0:3
625,8502219:0:3
626,8502202:0:5
627,8502119:0:5AB
628,8502119:0:5
629,8502216:0:2
630,8502217:0:1
631,8502113:0:4AB
632,8502202:0:6
633,8502219:0:2
634,8502218:0:2
635,8502214:0:2
636,8502119:0:6A
637,8502217:0:2
638,8502216:0:3
639,8502215:0:3DE
640,8502213:0:1
641,8502119:0:6B
642,8503504:0:4
643,8503502
644,8503501:0:1
645,8516176:0:1
646,8500329:0:4
647,8014474:0:5
648,8503501:0:2
649,8503503:0:1
650,8503501
651,8503505:0:3
652,8503409:0:1
653,8503410:0:1
654,8503411:0:1
655,8500329:0:1
656,8503408:0:7
657,8503505:0:1
658,8500329:0:3
659,8502001:0:1
660,8502120:0:1
661,8502121:0:1
662,8502100:0:1
663,8502122:0:1
664,8502101:0:1
665,8502102
666,8502103:0:5
667,8502104:0:2
668,8502103:0:6
669,8502104:0:1
670,8502001:0:40
671,8502100:0:2
672,8500218:0:10
673,8502116:0:1
674,8502128:0:1
675,8502115:0:2
676,8502111:0:3
677,8502113:0:0
678,8502115:0:3
679,8502128:0:2
680,8502116:0:2
681,8503503:0:2
682,8502113:0:3
683,8500218:0:1
684,8502105:0:3
685,8502106:0:4
686,8516219:0:1
687,8503506:0:5
688,8503508:0:4
689,8503512:0:2
690,8503509:0:4
691,8503001:0:4
692,8503020:0:1
693,8503000:0:43/44
694,8516219:0:2
695,8502106:0:3
696,8502105:0:2
697,8502388
698,8572699
699,8572698
700,8580330
701,8580819
702,8572696
703,8502392
704,8572695
705,8572694
706,8594490
707,8502713
708,8572693
709,8572692
710,8572691
711,8572690
712,8502378
713,8502365
714,8572688
715,8502382
716,8572687
717,8502361
718,8502381
719,8572686
720,8502364
721,8572685
722,8572684
723,8572697
724,8595512
725,8572743
726,8502387
727,8572742
728,8580333
729,8572700
730,8572550:0:D
731,8502983
732,8580311
733,8572551
734,8579815
735,8572553
736,8502774
737,8572555
738,8572556
739,8582461
740,8502772
741,8583561
742,8572557
743,8502896
744,8580318
745,8502773
746,8583560
747,8502956
748,8572559
749,8572561
750,8503879
751,8502575
752,8580729
753,8572560
754,8580310
755,8580728
756,8502750
757,8572554
758,8580315
759,8572552
760,8579692
761,8572558
762,8572550:0:E
763,8572550:0:H
764,8572562
765,8572563
766,8572564
767,8502880
768,8572565
769,8502897
770,8502881
771,8572567
772,8502982
773,8572568
774,8580847
775,8579963
776,8502707
777,8502755
778,8502753
779,8572543
780,8582713
781,8502757
782,8572549
783,8502962
784,8572548
785,8502888
786,8572546
787,8582879
788,8572550:0:F
789,8572550:0:G
790,8580846
791,8572607
792,8502691
793,8572569
794,8502751
795,8502968
796,8581014
797,8587230
798,8587574
799,8580637
800,8580634
801,8502899
802,8572547
803,8502561
804,8502706
805,8590185
806,8590188
807,8578681
808,8502889
809,8572544
810,8502702
811,8502701
812,8580924
813,8502999
814,8502984
815,8572542
816,8572541
817,8572540
818,8502700
819,8572539
820,8580376
821,8580285
822,8582529
823,8576164
824,8576480
825,8576496
826,8576498
