,0,1
161,19-114-j18-1,Bus
162,79-114-j18-1,Bus
163,66-114-Y-j18-1,Regionalzug
164,80-114-Y-j18-1,RegioExpress
165,4-115-j18-1,Bus
166,19-115-j18-1,Bus
167,23-115-j18-1,Bus
168,66-115-Y-j18-1,Regionalzug
169,80-115-Y-j18-1,RegioExpress
170,19-116-j18-1,Bus
171,20-116-j18-1,Bus
172,66-116-Y-j18-1,Regionalzug
173,80-116-Y-j18-1,RegioExpress
174,19-117-j18-1,Bus
175,20-117-j18-1,Bus
176,79-117-j18-1,Bus
177,6-117-1-j18-1,Bus
178,66-117-Y-j18-1,Regionalzug
179,80-117-Y-j18-1,RegioExpress
180,19-118-j18-1,Bus
181,20-118-j18-1,Bus
182,66-118-Y-j18-1,Regionalzug
183,80-118-Y-j18-1,RegioExpress
184,4-119-j18-1,Bus
185,20-119-j18-1,Bus
186,66-119-Y-j18-1,Regionalzug
187,80-119-Y-j18-1,RegioExpress
188,30-11-Y-j18-1,Bus
189,33-11-Y-j18-1,Bus
190,40-11-Y-j18-1,Eurocity
191,42-11-Y-j18-1,Intercity
192,59-11-Y-j18-1,InterRegio
193,66-11-Y-j18-1,Regionalzug
194,68-11-Y-j18-1,S-Bahn
195,69-11-Y-j18-1,S-Bahn
196,72-11-Y-j18-1,S-Bahn
197,76-11-Y-j18-1,Schnellzug
198,78-11-Y-j18-1,RegioExpress
199,79-11-Y-j18-1,RegioExpress
200,80-11-Y-j18-1,RegioExpress
201,6-12-A-j18-1,Bus
202,6-12-j18-1,Bus
203,7-12-j18-1,Bus
204,11-12-A-j18-1,Bus
205,11-12-B-j18-1,S-Bahn
206,11-12-j18-1,Bus
207,12-12-j18-1,Bus
208,19-12-j18-1,Bus
209,20-12-j18-1,Bus
210,25-12-j18-1,Bus
211,26-12-j18-1,S-Bahn
212,27-12-j18-1,Bus
213,79-12-j18-1,Bus
214,2-120-j18-1,Bus
215,8-120-j18-1,Bus
216,13-120-j18-1,Bus
217,16-120-j18-1,Bus
218,66-120-j18-1,Regionalzug
219,79-120-j18-1,Bus
220,66-120-Y-j18-1,Regionalzug
221,80-120-Y-j18-1,RegioExpress
